budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,dolma_sample,2027,role_depth_v2,5.00,950,31129600,146.663,20.741
100000000,dolma_sample,2027,role_depth_v2,4.80,1200,39321600,121.384,20.741
100000000,dolma_sample,2027,role_depth_v2,4.60,1650,54067200,98.186,20.741
100000000,dolma_sample,2027,role_depth_v2,4.50,1950,63897600,89.347,20.741
100000000,dolma_sample,2027,role_depth_v2,4.40,2400,78643200,81.082,20.741
100000000,dolma_sample,2027,role_depth_v2,4.35,2750,90112000,77.386,20.741
100000000,dolma_sample,2027,role_depth_v3,5.00,1000,32768000,143.242,24.197
100000000,dolma_sample,2027,role_depth_v3,4.80,1250,40960000,119.072,24.197
100000000,dolma_sample,2027,role_depth_v3,4.60,1700,55705600,97.823,24.197
100000000,dolma_sample,2027,role_depth_v3,4.50,2000,65536000,89.322,24.197
100000000,dolma_sample,2027,role_depth_v3,4.40,2500,81920000,81.007,24.197
100000000,dolma_sample,2027,role_depth_v3,4.35,2950,96665600,77.385,24.197
100000000,dolma_sample,2027,role_depth_v4,5.00,950,31129600,146.799,21.620
100000000,dolma_sample,2027,role_depth_v4,4.80,1200,39321600,120.935,21.620
100000000,dolma_sample,2027,role_depth_v4,4.60,1650,54067200,98.212,21.620
100000000,dolma_sample,2027,role_depth_v4,4.50,1950,63897600,89.503,21.620
100000000,dolma_sample,2027,role_depth_v4,4.40,2400,78643200,81.345,21.620
100000000,dolma_sample,2027,role_depth_v4,4.35,2800,91750400,77.341,21.620
100000000,dolma_sample,3407,full,5.00,1000,32768000,144.419,24.314
100000000,dolma_sample,3407,full,4.80,1250,40960000,119.539,24.314
100000000,dolma_sample,3407,full,4.60,1650,54067200,98.483,24.314
100000000,dolma_sample,3407,full,4.50,1950,63897600,89.484,24.314
100000000,dolma_sample,3407,full,4.40,2400,78643200,81.017,24.314
100000000,dolma_sample,3407,full,4.35,2750,90112000,77.372,24.314
100000000,dolma_sample,3407,no_role_depth,5.00,1000,32768000,147.412,21.083
100000000,dolma_sample,3407,no_role_depth,4.80,1300,42598400,119.150,21.083
100000000,dolma_sample,3407,no_role_depth,4.60,1700,55705600,98.349,21.083
