update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2520,660602880,False,False,gradient_surrogate,0.0,0.0,3.438872761982603e-16,0.95,1.0,0.0
2521,660865024,False,True,functional,0.0,0.0,1.0329803523910045e-15,0.95,1.0,0.0
2522,661127168,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2523,661389312,False,False,gradient_surrogate,0.0,0.0,1.7203528168925596e-16,0.95,1.0,0.0
2524,661651456,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2525,661913600,False,False,gradient_surrogate,0.0,0.0,1.0318468287960243e-15,0.95,1.0,0.0
2526,662175744,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2527,662437888,False,False,gradient_surrogate,0.0,0.0,1.2048401791527344e-15,0.95,1.0,0.0
2528,662700032,False,False,gradient_surrogate,0.0,0.0,1.7211700906164655e-16,0.95,1.0,0.0
2529,662962176,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2530,663224320,False,False,gradient_surrogate,0.0,0.0,3.440650041664767e-16,0.95,1.0,0.0
2531,663486464,False,False,gradient_surrogate,0.0,0.0,3.438528440491723e-16,0.95,1.0,0.0
2532,663748608,False,False,gradient_surrogate,0.0,0.0,3.4409013667176666e-16,0.95,1.0,0.0
2533,664010752,False,False,gradient_surrogate,0.0,0.0,8.596451625083845e-16,0.95,1.0,0.0
2534,664272896,False,False,gradient_surrogate,0.0,0.0,3.439319130205434e-16,0.95,1.0,0.0
2535,664535040,False,False,gradient_surrogate,0.0,0.0,6.849411110778716e-16,0.95,1.0,0.0
2536,664797184,False,False,gradient_surrogate,0.0,0.0,3.438555608968439e-16,0.95,1.0,0.0
2537,665059328,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2538,665321472,False,False,gradient_surrogate,0.0,0.0,3.439930433017001e-16,0.95,1.0,0.0
2539,665583616,False,False,gradient_surrogate,0.0,0.0,8.601344629575653e-16,0.95,1.0,0.0
2540,665845760,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2541,666107904,False,False,gradient_surrogate,0.0,0.0,3.4410813246776534e-16,0.95,1.0,0.0
2542,666370048,False,False,gradient_surrogate,0.0,0.0,8.608417410754329e-16,0.95,1.0,0.0
2543,666632192,False,False,gradient_surrogate,0.0,0.0,1.7218122255559305e-16,0.95,1.0,0.0
2544,666894336,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2545,667156480,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2546,667418624,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2547,667680768,False,False,gradient_surrogate,0.0,0.0,5.162956854577479e-16,0.95,1.0,0.0
