update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
138,36175872,6.3435258865356445,6.2800774574279785,-0.06344842910766602,0.000207,4.552190920338035,4.688600856810808
139,36438016,6.306339263916016,6.243736267089844,-0.06260299682617188,0.00020849999999999997,4.5505220498889685,4.688319115899503
140,36700160,6.381999492645264,6.318709850311279,-0.06328964233398438,0.00020999999999999998,4.628270987421274,4.688162230886519
141,36962304,6.276025772094727,6.216274738311768,-0.059751033782958984,0.0002115,4.551460048183799,4.6868212800472975
142,37224448,6.337198257446289,6.272282600402832,-0.06491565704345703,0.000213,4.550898079760373,4.6898045763373375
143,37486592,6.342592716217041,6.278048515319824,-0.0645442008972168,0.00021449999999999996,4.550436136312783,4.680068727582693
144,37748736,6.256015777587891,6.195887565612793,-0.060128211975097656,0.00021599999999999996,4.550458666868508,4.685003309510648
145,38010880,6.27055549621582,6.20464563369751,-0.06590986251831055,0.00021749999999999997,4.5509806061163545,4.734426663257182
146,38273024,6.249415397644043,6.189756393432617,-0.05965900421142578,0.00021899999999999998,4.550646328367293,4.697328458540142
147,38535168,6.1966328620910645,6.144840240478516,-0.05179262161254883,0.00022049999999999997,4.550317401997745,4.688189134001732
148,38797312,6.224555969238281,6.163306713104248,-0.0612492561340332,0.00022199999999999998,4.54908933583647,4.685950140468776
149,39059456,6.219707012176514,6.165985107421875,-0.05372190475463867,0.00022349999999999998,4.550743964500725,4.687502196058631
150,39321600,6.26200008392334,6.201622486114502,-0.06037759780883789,0.000225,4.5515979789197445,4.690532948821783
151,39583744,6.1595458984375,6.097463607788086,-0.06208229064941406,0.00022649999999999998,4.549369468353689,4.695105232298374
152,39845888,6.148167610168457,6.084158897399902,-0.06400871276855469,0.00022799999999999999,4.55101768206805,4.700029289349914
153,40108032,6.212882041931152,6.145442962646484,-0.06743907928466797,0.0002295,4.550773849710822,4.738949379883707
154,40370176,6.1440629959106445,6.09161376953125,-0.05244922637939453,0.00023099999999999998,4.548660883679986,4.67833090107888
155,40632320,6.076432228088379,6.016763687133789,-0.059668540954589844,0.00023249999999999996,4.549081614241004,4.697331762872636
156,40894464,6.040909767150879,5.995120525360107,-0.045789241790771484,0.00023399999999999997,4.667438079603016,4.691031471826136
157,41156608,6.1033830642700195,6.051752090454102,-0.05163097381591797,0.00023549999999999998,4.549790098331869,4.687303570099175
158,41418752,6.046703338623047,5.985933303833008,-0.06077003479003906,0.000237,4.5500309420749545,4.6880587032064795
159,41680896,6.125674247741699,6.067615509033203,-0.058058738708496094,0.00023849999999999997,4.550702243112028,4.686108546331525
160,41943040,6.1222357749938965,6.061347484588623,-0.06088829040527344,0.00023999999999999998,4.5499736769124866,4.680083536542952
161,42205184,6.086508750915527,6.028759002685547,-0.05774974822998047,0.0002415,4.549977438524365,4.745801848359406
162,42467328,6.140011787414551,6.086018085479736,-0.05399370193481445,0.000243,4.549506680108607,4.681911285966635
163,42729472,6.140718460083008,6.082214832305908,-0.05850362777709961,0.0002445,4.548924183472991,4.688927768729627
164,42991616,6.059557914733887,6.006499290466309,-0.053058624267578125,0.00024599999999999996,4.5502529526129365,4.690968869253993
165,43253760,6.072017669677734,6.013288974761963,-0.058728694915771484,0.0002475,4.549643760547042,4.691261983476579
166,43515904,6.147196292877197,6.088143825531006,-0.059052467346191406,0.000249,4.548665588721633,4.68592138774693
167,43778048,6.027224540710449,5.966562271118164,-0.060662269592285156,0.0002505,4.550517865456641,4.676931070163846
168,44040192,5.986121654510498,5.934420108795166,-0.05170154571533203,0.00025199999999999995,4.550311885774136,4.677686071023345
169,44302336,5.964437961578369,5.911354064941406,-0.05308389663696289,0.0002535,4.547548508271575,4.733226730488241
170,44564480,5.98576021194458,5.931955814361572,-0.05380439758300781,0.00025499999999999996,4.550476447679102,4.680142525583506
171,44826624,6.0339250564575195,5.96709680557251,-0.06682825088500977,0.0002565,4.549715721048415,4.6882692482322454
172,45088768,5.935187339782715,5.875374794006348,-0.05981254577636719,0.000258,4.549604559317231,4.689367280341685
173,45350912,6.059781551361084,5.998471260070801,-0.0613102912902832,0.00025949999999999997,4.550684159621596,4.686336777172983
174,45613056,5.929083347320557,5.861321449279785,-0.06776189804077148,0.000261,4.550341690890491,4.6889683632180095
175,45875200,5.979661464691162,5.916448593139648,-0.06321287155151367,0.0002625,4.54941023234278,4.690000717528164
176,46137344,5.945183277130127,5.8684401512146,-0.07674312591552734,0.00026399999999999997,4.5501729333773255,4.680605395697057
177,46399488,5.883781433105469,5.816441535949707,-0.06733989715576172,0.00026549999999999995,4.547704909928143,5.251885948702693
178,46661632,5.949999809265137,5.8860063552856445,-0.06399345397949219,0.000267,4.549577232450247,4.676902683451772
179,46923776,6.000152587890625,5.930224418640137,-0.06992816925048828,0.00026849999999999997,4.550331463105977,4.687286854721606
180,47185920,5.91545295715332,5.846622467041016,-0.06883049011230469,0.00026999999999999995,4.550217293202877,4.688541069626808
181,47448064,5.939697265625,5.882992744445801,-0.05670452117919922,0.0002715,4.549767986871302,5.2947414284572005
182,47710208,5.89579963684082,5.823047637939453,-0.07275199890136719,0.00027299999999999997,4.549955957569182,4.6865265956148505
183,47972352,6.010335445404053,5.939094543457031,-0.07124090194702148,0.0002745,4.548513141460717,4.67356857471168
184,48234496,5.850115776062012,5.777165412902832,-0.07295036315917969,0.000276,4.548804358579218,4.6738861268386245
185,48496640,5.803891181945801,5.732631683349609,-0.0712594985961914,0.00027749999999999997,4.548703293316066,4.731208943761885
186,48758784,5.846297264099121,5.7721357345581055,-0.07416152954101562,0.00027899999999999995,4.550389030948281,4.6749039720743895
187,49020928,5.843201160430908,5.771311283111572,-0.07188987731933594,0.0002805,4.549848912283778,4.684203824028373
188,49283072,5.782634735107422,5.713349342346191,-0.06928539276123047,0.00028199999999999997,4.549141024239361,4.685202757827938
189,49545216,5.747115612030029,5.664165496826172,-0.08295011520385742,0.00028349999999999995,4.550631378777325,4.685248272493482
190,49807360,5.782666206359863,5.706459999084473,-0.07620620727539062,0.000285,4.548674488440156,5.140182175673544
191,50069504,5.783320903778076,5.716152667999268,-0.0671682357788086,0.00028649999999999997,4.549252176657319,4.679847415536642
192,50331648,5.851263999938965,5.768159866333008,-0.08310413360595703,0.000288,4.5505426581949,4.676486966200173
193,50593792,5.827878952026367,5.747173309326172,-0.08070564270019531,0.0002895,4.5484464559704065,4.731990515254438
194,50855936,5.773468971252441,5.683516979217529,-0.08995199203491211,0.00029099999999999997,4.5498676067218184,4.682718846946955
195,51118080,5.773177623748779,5.689410209655762,-0.08376741409301758,0.0002925,4.549447759054601,4.6892916690558195
196,51380224,5.70244026184082,5.621743202209473,-0.08069705963134766,0.000294,4.549309018999338,4.68775350227952
197,51642368,5.771866321563721,5.6833343505859375,-0.0885319709777832,0.00029549999999999997,4.550048775970936,4.689993507228792
198,51904512,5.738942623138428,5.661320209503174,-0.0776224136352539,0.00029699999999999996,4.550602221861482,4.688178991898894
199,52166656,5.811761379241943,5.725869655609131,-0.0858917236328125,0.0002985,4.548871316947043,4.687112827785313
200,52428800,5.723711967468262,5.642210960388184,-0.08150100708007812,0.0003,4.550821325741708,4.690799961797893
201,52690944,5.745194435119629,5.651585102081299,-0.09360933303833008,0.0002999999996792762,4.5478672329336405,4.732970302924514
202,52953088,5.476251602172852,5.385492324829102,-0.09075927734375,0.000299999998717105,4.548917520791292,4.679269460961223
203,53215232,5.715219974517822,5.619884490966797,-0.09533548355102539,0.00029999999711348635,4.55150121729821,4.6912941029295325
204,53477376,5.692690849304199,5.596750259399414,-0.09594058990478516,0.0002999999948684202,4.551208582706749,4.688867018558085
205,53739520,5.80366325378418,5.702786922454834,-0.1008763313293457,0.00029999999198190657,4.548722742125392,4.688839794136584
206,54001664,5.714951038360596,5.623420238494873,-0.09153079986572266,0.00029999998845394555,4.5507448222488165,4.6863555843010545
207,54263808,5.607607364654541,5.512451171875,-0.09515619277954102,0.00029999998428453713,4.54840493388474,4.688692715018988
208,54525952,5.740317344665527,5.637414455413818,-0.10290288925170898,0.00029999997947368126,4.54945853818208,4.686299266293645
209,54788096,5.6342315673828125,5.546754837036133,-0.08747673034667969,0.000299999974021378,4.551693366840482,4.73498659580946
210,55050240,5.602229595184326,5.505000591278076,-0.09722900390625,0.00029999996792762744,4.5504417438060045,4.676459952257574
211,55312384,5.680807113647461,5.5932512283325195,-0.0875558853149414,0.0002999999611924295,4.549303515814245,4.688608353026211
212,55574528,5.538063049316406,5.443333625793457,-0.09472942352294922,0.0002999999538157843,4.5506689408794045,4.687981587834656
213,55836672,5.596745491027832,5.508040428161621,-0.08870506286621094,0.00029999994579769186,4.550360314548016,4.688316051848233
214,56098816,5.617547035217285,5.521968841552734,-0.09557819366455078,0.00029999993713815214,4.548196925781667,4.688480651937425
215,56360960,5.5884833335876465,5.501559734344482,-0.08692359924316406,0.0002999999278371653,4.5514888390898705,4.686230183579028
216,56623104,5.5778937339782715,5.471192836761475,-0.10670089721679688,0.0002999999178947313,4.550870352424681,4.686499753035605
217,56885248,5.62845516204834,5.521588325500488,-0.10686683654785156,0.0002999999073108502,4.549658305943012,4.733166455291212
218,57147392,5.639035224914551,5.545039653778076,-0.09399557113647461,0.0002999998960855221,4.5503810700029135,4.677500347606838
219,57409536,5.667708396911621,5.564631462097168,-0.10307693481445312,0.000299999884218747,4.548816665075719,4.6869259206578135
220,57671680,5.585436820983887,5.496371269226074,-0.0890655517578125,0.00029999987171052496,4.550941029563546,4.685468528419733
221,57933824,5.545679569244385,5.4386515617370605,-0.10702800750732422,0.0002999998585608561,4.55128207243979,4.686854929663241
222,58195968,5.499014377593994,5.396420478820801,-0.10259389877319336,0.00029999984476974034,4.55133840162307,4.689026457257569
223,58458112,5.505582809448242,5.403545379638672,-0.10203742980957031,0.00029999983033717793,4.550561148673296,4.685765405185521
224,58720256,5.715668678283691,5.6086907386779785,-0.10697793960571289,0.0002999998152631689,4.551217122934759,4.687476295977831
225,58982400,5.523691177368164,5.433956146240234,-0.08973503112792969,0.00029999979954771315,4.550251775421202,4.734597661532462
226,59244544,5.610204696655273,5.506187438964844,-0.10401725769042969,0.00029999978319081094,4.549934204667807,4.67634516581893
227,59506688,5.592924118041992,5.524816513061523,-0.06810760498046875,0.00029999976619246224,4.550648517906666,4.689124260097742
228,59768832,5.619121074676514,5.5132036209106445,-0.10591745376586914,0.00029999974855266724,4.551275614649057,4.6879211608320475
229,60030976,5.532812118530273,5.436455249786377,-0.09635686874389648,0.0002999997302714259,4.550453905016184,4.685831201262772
230,60293120,5.544088363647461,5.449740409851074,-0.09434795379638672,0.0002999997113487384,4.550677930936217,4.6893914537504315
231,60555264,5.481438159942627,5.378002166748047,-0.10343599319458008,0.0002999996917846047,4.550400018692017,4.689230741001666
232,60817408,5.447086334228516,5.337733268737793,-0.10935306549072266,0.00029999967157902515,4.550189859233797,4.686635370366275
