update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
5600,1468006400,2.9608540534973145,2.9577574729919434,-0.0030965805053710938,2.965416316986084,2.9624618887901306,2.855291645973921,2.8522045090794563,-0.003087136894464493,17.379505131300853,17.325934951587094,-0.0535701797137591
5700,1494220800,3.015120029449463,3.013320207595825,-0.0017998218536376953,2.9650797295570372,2.963061120510101,2.8392470963299274,2.8361651189625263,-0.003081977367401123,17.102883864394716,17.050254306619177,-0.052629557775539126
5800,1520435200,2.9387753009796143,2.9358596801757812,-0.002915620803833008,2.9545675778388976,2.9522885155677794,2.8304411210119724,2.828457862138748,-0.0019832588732242584,16.952937472300253,16.919348727229043,-0.03358874507121001
5900,1546649600,2.8832082748413086,2.884817600250244,0.0016093254089355469,2.9879736495018006,2.9855145525932314,2.8314852751791477,2.8278724513947964,-0.003612823784351349,16.9706481973624,16.909446857316755,-0.06120134004564548
6000,1572864000,3.029046058654785,3.025238037109375,-0.0038080215454101562,2.990622978210449,2.9883862423896788,2.828879337757826,2.826886862516403,-0.001992475241422653,16.926481323210307,16.892789304652137,-0.03369201855817039
6100,1599078400,2.953461170196533,2.9523587226867676,-0.001102447509765625,2.972206618785858,2.9695810675621033,2.8390878587961197,2.8333774767816067,-0.005710382014513016,17.100160660171067,17.002790485330358,-0.09737017484070876
6200,1625292800,2.992582082748413,2.99336838722229,0.0007863044738769531,2.968557269573212,2.9661048460006714,2.838015191257,2.834123443812132,-0.0038917474448680878,17.081827707256764,17.01547873838018,-0.06634896887658215
6300,1651507200,2.9188547134399414,2.9142870903015137,-0.004567623138427734,2.9281066346168516,2.925734257698059,2.8439571671187878,2.8402461111545563,-0.003711055964231491,17.183629668038026,17.11997843636282,-0.06365123167520537
6400,1677721600,2.9012763500213623,2.898672580718994,-0.002603769302368164,2.893970034122467,2.8914109539985655,2.8448541685938835,2.8411284685134888,-0.003725700080394745,17.19905032433951,17.135091041699678,-0.06395928263983208
6500,1703936000,2.909862756729126,2.9077017307281494,-0.0021610260009765625,2.914937629699707,2.9126727986335754,2.8251169733703136,2.8192163705825806,-0.005900602787733078,16.862917383007435,16.763708988199095,-0.09920839480833976
