task,run_name,label,activation,optimizer,seed,step,tokens,gpu_hours_approx,loss,lr,seconds_per_step,grad_clip_triggered,grad_global_norm_before_clip
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,880,28835840,0.8694643109769095,5.202750253677368,6.363108905647191e-05,0.889224863499112,False,0.7450131773948669
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,890,29163520,0.8830206997075746,5.1837263107299805,6.280233181647404e-05,0.8929422806031653,False,0.6610087752342224
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,900,29491200,0.89127219979855,5.195721960067749,6.197480998264016e-05,0.89127219979855,False,0.7209117412567139
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,910,29818880,0.8999455116167114,5.172503089904785,6.114898874147208e-05,0.8900560005000443,False,0.6389257907867432
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,920,30146560,0.9136012090492942,5.161073398590088,6.032533232349346e-05,0.8937403132003965,False,0.6439756155014038
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,930,30474240,0.9208486787895284,5.145734548568726,5.950430374228544e-05,0.8911438826995436,False,0.6379095911979675
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,940,30801920,0.9293476465673949,5.149713230133057,5.868636453420626e-05,0.8898009382028249,False,0.6351333856582642
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,950,31129600,0.9479869332200905,5.164472579956055,5.787197449894134e-05,0.8980928841032437,False,0.6816177368164062
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,960,31457280,0.9604928020279234,5.1355784893035885,5.70615914410296e-05,0.9004620019011782,False,0.744773268699646
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,970,31784960,0.9664396044389448,5.149909591674804,5.625567091251139e-05,0.8966965402010828,False,0.7234296798706055
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,980,32112640,0.9672701878565648,5.117688322067261,5.54546659568425e-05,0.8883093561948044,False,0.6976798176765442
