task,seed,method,step,loss,lr,seconds_per_step
fineweb,1337,RLB+AdamW,250,6.120374,0.000300,1.504005
fineweb,1337,RLB+AdamW,260,6.081086,0.000300,1.508008
fineweb,1337,RLB+AdamW,270,6.069482,0.000300,1.507252
fineweb,1337,RLB+AdamW,280,6.007186,0.000299,1.505543
fineweb,1337,RLB+AdamW,290,6.012314,0.000299,1.506256
fineweb,1337,RLB+AdamW,300,5.949119,0.000299,1.503635
fineweb,1337,RLB+AdamW,310,5.931446,0.000299,1.500903
fineweb,1337,RLB+AdamW,320,5.897542,0.000299,1.503823
fineweb,1337,RLB+AdamW,330,5.839950,0.000299,1.505698
fineweb,1337,RLB+AdamW,340,5.843703,0.000298,1.505737
fineweb,1337,RLB+AdamW,350,5.833142,0.000298,1.506990
fineweb,1337,RLB+AdamW,360,5.805900,0.000298,1.502392
fineweb,1337,RLB+AdamW,370,5.761337,0.000298,1.499465
fineweb,1337,RLB+AdamW,380,5.758357,0.000297,1.502164
fineweb,1337,RLB+AdamW,390,5.704079,0.000297,1.508676
fineweb,1337,RLB+AdamW,400,5.666667,0.000297,1.510136
fineweb,1337,RLB+AdamW,410,5.681748,0.000296,1.491053
fineweb,1337,RLB+AdamW,420,5.683633,0.000296,1.492481
fineweb,1337,RLB+AdamW,430,5.648334,0.000296,1.493796
fineweb,1337,RLB+AdamW,440,5.623035,0.000295,1.499294
fineweb,1337,RLB+AdamW,450,5.608453,0.000295,1.506986
fineweb,1337,RLB+AdamW,460,5.596610,0.000295,1.498799
fineweb,1337,RLB+AdamW,470,5.558436,0.000294,1.492997
fineweb,1337,RLB+AdamW,480,5.559503,0.000294,1.492592
fineweb,1337,RLB+AdamW,490,5.522997,0.000293,1.493655
fineweb,1337,RLB+AdamW,500,5.543159,0.000293,1.498549
fineweb,1337,RLB+AdamW,510,5.495941,0.000292,1.495849
fineweb,1337,RLB+AdamW,520,5.501663,0.000292,1.497256
fineweb,1337,RLB+AdamW,530,5.453709,0.000291,1.496489
fineweb,1337,RLB+AdamW,540,5.423222,0.000291,1.502553
fineweb,1337,RLB+AdamW,550,5.435767,0.000290,1.500454
fineweb,1337,RLB+AdamW,560,5.464266,0.000290,1.491646
fineweb,1337,RLB+AdamW,570,5.440081,0.000289,1.501150
fineweb,1337,RLB+AdamW,580,5.403859,0.000288,1.509692
fineweb,1337,RLB+AdamW,590,5.388228,0.000288,1.507290
fineweb,1337,RLB+AdamW,600,5.371883,0.000287,1.507354
fineweb,1337,RLB+AdamW,610,5.361566,0.000287,1.505474
fineweb,1337,RLB+AdamW,620,5.321685,0.000286,1.507414
fineweb,1337,RLB+AdamW,630,5.330253,0.000285,1.506714
fineweb,1337,RLB+AdamW,640,5.334429,0.000284,1.507398
fineweb,1337,RLB+AdamW,650,5.296762,0.000284,1.509008
fineweb,1337,RLB+AdamW,660,5.293081,0.000283,1.508711
fineweb,1337,RLB+AdamW,670,5.284135,0.000282,1.507439
fineweb,1337,RLB+AdamW,680,5.291317,0.000282,1.507595
fineweb,1337,RLB+AdamW,690,5.280585,0.000281,1.504980
fineweb,1337,RLB+AdamW,700,5.234259,0.000280,1.505047
fineweb,1337,RLB+AdamW,710,5.286637,0.000279,1.506970
fineweb,1337,RLB+AdamW,720,5.238357,0.000279,1.508223
fineweb,1337,RLB+AdamW,730,5.249891,0.000278,1.503367
fineweb,1337,RLB+AdamW,740,5.236770,0.000277,1.505921
fineweb,1337,RLB+AdamW,750,5.218200,0.000276,1.504110
fineweb,1337,RLB+AdamW,760,5.205694,0.000275,1.501384
fineweb,1337,RLB+AdamW,770,5.208274,0.000274,1.507226
fineweb,1337,RLB+AdamW,780,5.201269,0.000273,1.506322
fineweb,1337,RLB+AdamW,790,5.163247,0.000273,1.504875
fineweb,1337,RLB+AdamW,800,5.178833,0.000272,1.506249
fineweb,1337,RLB+AdamW,810,5.158323,0.000271,1.505790
fineweb,1337,RLB+AdamW,820,5.127271,0.000270,1.504355
fineweb,1337,RLB+AdamW,830,5.133306,0.000269,1.503442
fineweb,1337,RLB+AdamW,840,5.128649,0.000268,1.507414
fineweb,1337,RLB+AdamW,850,5.123457,0.000267,1.507261
fineweb,1337,RLB+AdamW,860,5.122003,0.000266,1.494205
