budget_tokens,dataset,seed,method,final_val_loss,final_val_ppl,total_minutes,mean_seconds_per_step,tokens_per_second,slurm_job_id,slurm_restart_count,slurm_node,jsonl
100000000,dolma_sample,2027,role_depth_v5,4.328745,75.849,23.584,0.439100,74625.293,749324,1,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v5_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,role_depth_v6,4.331207,76.036,22.824,0.424780,77141.157,749339,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v6_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,full,4.324468,75.525,24.314,0.453156,72310.607,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed3407_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,no_role_depth,4.338317,76.579,21.083,0.390769,83855.242,572268,0,zabih-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,role_depth_v2,4.321068,75.269,21.572,0.400142,81890.951,680234,0,zabih-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,role_depth_v3,4.337494,76.516,25.261,0.472182,69397.042,707582,0,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v3_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,role_depth_v4,4.324802,75.551,26.235,0.492264,66565.954,707597,0,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v4_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,role_depth_v5,4.322758,75.396,23.620,0.440311,74420.098,749325,0,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v5_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dolma_sample,3407,role_depth_v6,4.326100,75.649,24.891,0.462985,70775.554,749340,0,damle-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v6_100m_dolma_sample_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,full,4.301804,73.833,22.435,0.416286,78715.034,,,,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb/E1_rational_only_100m_fineweb_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,no_role_depth,4.315967,74.886,21.440,0.397584,82417.841,567152,0,seo-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,role_depth_v2,4.302154,73.859,24.864,0.460408,71171.644,676548,0,damle-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,role_depth_v3,4.314709,74.792,25.182,0.470197,69689.991,707433,1,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v3_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,role_depth_v4,4.304448,74.028,26.301,0.492863,66484.956,707592,0,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v4_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,role_depth_v5,4.300559,73.741,23.515,0.438566,74716.191,763837,0,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v5_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,fineweb,1337,role_depth_v6,4.304709,74.048,22.823,0.425458,77018.241,749335,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v6_100m_fineweb_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,fineweb,2027,full,4.324519,75.529,27.847,0.518908,63148.032,,,,experiments/runs/iclr26_main/E1_rational_only_100m/fineweb/E1_rational_only_100m_fineweb_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,fineweb,2027,no_role_depth,4.343298,76.961,23.559,0.437565,74887.092,567153,0,damle-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/fineweb/E1_matrixpolicy_ablation_no_role_depth_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,fineweb,2027,role_depth_v2,4.323945,75.486,21.601,0.401144,81686.298,676649,0,zabih-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v2_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,fineweb,2027,role_depth_v3,4.337168,76.491,25.692,0.480181,68240.990,707454,0,nikola-compute-18,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/fineweb/E1_matrixpolicy_ablation_role_depth_v3_100m_fineweb_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
