budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,hit_status,target_hit_minutes,total_minutes,mean_seconds_per_step,tokens_per_second,final_val_loss,slurm_job_id,slurm_restart_count,slurm_node
100000000,dclm,2027,role_depth_v5,4.90,900,29491200,132.643,hit,6.659,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v5,4.70,1200,39321600,108.497,hit,8.879,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v5,4.55,1500,49152000,94.379,hit,11.099,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v5,4.45,1800,58982400,85.615,hit,13.319,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v5,4.35,2250,73728000,77.230,hit,16.648,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v5,4.30,2600,85196800,73.520,hit,19.238,24.006,0.443954,73809.379,4.258960,749315,0,rush-compute-02
100000000,dclm,2027,role_depth_v6,4.90,900,29491200,132.728,hit,7.009,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,2027,role_depth_v6,4.70,1200,39321600,108.587,hit,9.346,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,2027,role_depth_v6,4.55,1500,49152000,94.475,hit,11.682,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,2027,role_depth_v6,4.45,1850,60620800,84.422,hit,14.408,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,2027,role_depth_v6,4.35,2300,75366400,76.736,hit,17.912,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,2027,role_depth_v6,4.30,2650,86835200,73.331,hit,20.638,25.104,0.467279,70125.090,4.263743,749330,1,damle-compute-01
100000000,dclm,3407,full,4.90,900,29491200,133.155,hit,6.881,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,full,4.70,1200,39321600,109.136,hit,9.174,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,full,4.55,1500,49152000,94.565,hit,11.468,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,full,4.45,1800,58982400,85.591,hit,13.761,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,full,4.35,2250,73728000,76.926,hit,17.202,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,full,4.30,2550,83558400,73.480,hit,19.495,24.557,0.458714,71434.534,4.255752,,,
100000000,dclm,3407,no_role_depth,4.90,950,31129600,130.508,hit,6.289,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,no_role_depth,4.70,1250,40960000,107.048,hit,8.274,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,no_role_depth,4.55,1550,50790400,93.731,hit,10.260,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,no_role_depth,4.45,1850,60620800,85.057,hit,12.246,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,no_role_depth,4.35,2300,75366400,77.082,hit,15.225,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,no_role_depth,4.30,2600,85196800,73.685,hit,17.211,21.456,0.397170,82503.762,4.265036,572245,0,seo-compute-01
100000000,dclm,3407,role_depth_v2,4.90,900,29491200,133.694,hit,5.786,20.815,0.385700,84957.218,4.251755,676425,0,elor-compute-01
