budget_tokens,dataset,seed,target_loss,comparator,full_tokens,comparator_tokens,full_saves_tokens,full_saves_percent_vs_comparator,full_total_minutes,comparator_total_minutes
100000000,fineweb_edu,3407,4.40,no_role_depth,49152000,50790400,1638400,0.03225806451612903,27.774,23.456
100000000,fineweb_edu,3407,4.40,role_depth_v2,49152000,49152000,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.40,role_depth_v3,49152000,50790400,1638400,0.03225806451612903,27.774,25.216
100000000,fineweb_edu,3407,4.40,role_depth_v4,49152000,49152000,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.40,role_depth_v5,49152000,49152000,0,0.0,27.774,26.409
100000000,fineweb_edu,3407,4.40,role_depth_v6,49152000,49152000,0,0.0,27.774,23.912
100000000,fineweb_edu,3407,4.30,no_role_depth,60620800,60620800,0,0.0,27.774,23.456
100000000,fineweb_edu,3407,4.30,role_depth_v2,60620800,60620800,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.30,role_depth_v3,60620800,60620800,0,0.0,27.774,25.216
100000000,fineweb_edu,3407,4.30,role_depth_v4,60620800,60620800,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.30,role_depth_v5,60620800,58982400,-1638400,-0.027777777777777776,27.774,26.409
100000000,fineweb_edu,3407,4.30,role_depth_v6,60620800,58982400,-1638400,-0.027777777777777776,27.774,23.912
100000000,fineweb_edu,3407,4.20,no_role_depth,72089600,73728000,1638400,0.022222222222222223,27.774,23.456
100000000,fineweb_edu,3407,4.20,role_depth_v2,72089600,72089600,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.20,role_depth_v3,72089600,73728000,1638400,0.022222222222222223,27.774,25.216
100000000,fineweb_edu,3407,4.20,role_depth_v4,72089600,72089600,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.20,role_depth_v5,72089600,72089600,0,0.0,27.774,26.409
100000000,fineweb_edu,3407,4.20,role_depth_v6,72089600,73728000,1638400,0.022222222222222223,27.774,23.912
100000000,fineweb_edu,3407,4.10,role_depth_v2,98304000,98304000,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.10,role_depth_v4,98304000,98304000,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.10,role_depth_v5,98304000,96665600,-1638400,-0.01694915254237288,27.774,26.409
100000000,fineweb_edu,3407,4.10,role_depth_v6,98304000,99942400,1638400,0.01639344262295082,27.774,23.912
100000000,fineweb,1337,5.00,no_role_depth,29491200,31129600,1638400,0.05263157894736842,22.435,21.440
100000000,fineweb,1337,5.00,role_depth_v2,29491200,29491200,0,0.0,22.435,24.864
100000000,fineweb,1337,5.00,role_depth_v3,29491200,31129600,1638400,0.05263157894736842,22.435,25.182
