scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,silu_came,SiLU+CAME,silu,adafactor_came,1,0,3050,100000000,1159.9542364375666,0.0,1159.9542364375666,1159.9542364375666,19.332570607292777,0.32220951012154625,0.36298060735598914,90274.79522580432
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,3050,100000000,1571.9177212196325,67.03691393311179,1501.9909567110008,1635.6323388159508,26.198628686993874,0.43664381144989795,0.4856750404379893,67543.007034835
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,2,0,3050,100000000,1955.3496729869803,5.683924996805609,1951.3305310779833,1959.3688148959773,32.589161216449675,0.5431526869408279,0.6238456161076731,52526.03589555982
E1_m0_100m_all_datasets,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,1,0,3050,100000000,1068.5379717499018,0.0,1068.5379717499018,1068.5379717499018,17.808966195831697,0.2968161032638616,0.33308927976726654,98376.0270606589
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,3050,100000000,1431.4328152068967,88.60794481160514,1329.5471471888013,1490.4905043049948,23.85721358678161,0.3976202264463602,0.4423425082576481,74282.52065970635
E2_m0_300m_c4_en,E2_rational_only_300m,c4_en,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,9150,300000000,3853.430792124282,173.99004008105973,3749.3230763529427,4054.2923167649424,64.2238465354047,1.070397442256745,0.3976386498261996,82517.01487823208
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_adamw,SiLU+AdamW,silu,adamw,3,0,9150,300000000,4386.256543087664,784.750274867532,3480.4734909789986,4861.526424514996,73.10427571812774,1.218404595302129,0.4622590455537354,72773.12465399463
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,9150,300000000,4106.3592081319075,332.2300722804958,3722.7784249735996,4303.264091010089,68.43932013553179,1.1406553355921965,0.4237411182458968,77714.42479065672
E2_m0_300m_c4_en,E2_m0_300m,c4_en,silu_muon,SiLU+Muon,silu,muon,3,0,9150,300000000,4687.350267785019,964.5760965236802,3574.860908515053,5290.313413985001,78.12250446308366,1.3020417410513943,0.49369757669997577,68698.40272001614
E2_m0_300m_c4_en,E2_global_rational_optimizers_300m,c4_en,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,9150,300000000,4471.025909913859,397.83341131727616,4011.851404847577,4712.466583185014,74.51709849856432,1.2419516416427387,0.4630618094949261,71183.67869616764
